Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,1998,50,Zaragoza,16584,21.0,0.12662807525325614
0-4 años,Hombres,1998,51,Ceuta,2585,7.0,0.27079303675048355
0-4 años,Hombres,1998,52,Melilla,2378,4.0,0.16820857863751051
0-4 años,Hombres,1999,1,Araba/Álava,5459,1.0,0.018318373328448434
0-4 años,Hombres,1999,2,Albacete,9402,10.0,0.10636034886194426
0-4 años,Hombres,1999,3,Alicante/Alacant,32369,50.0,0.15446878185918625
0-4 años,Hombres,1999,4,Almería,13770,17.0,0.12345679012345678
0-4 años,Hombres,1999,5,Ávila,2401,2.0,0.08329862557267806
0-4 años,Hombres,1999,6,Badajoz,16173,14.0,0.08656402646385952
0-4 años,Hombres,1999,7,"Balears, Illes",19902,31.0,0.1557632398753894
0-4 años,Hombres,1999,8,Barcelona,103895,143.0,0.13763896241397566
0-4 años,Hombres,1999,9,Burgos,5770,3.0,0.05199306759098787
0-4 años,Hombres,1999,10,Cáceres,7080,12.0,0.1694915254237288
0-4 años,Hombres,1999,11,Cádiz,31073,25.0,0.0804557010909793
0-4 años,Hombres,1999,12,Castellón/Castelló,10411,12.0,0.11526270291038325
0-4 años,Hombres,1999,13,Ciudad Real,11314,11.0,0.0972246773908432
0-4 años,Hombres,1999,14,Córdoba,20436,39.0,0.19083969465648853
0-4 años,Hombres,1999,15,"Coruña, A",18589,21.0,0.11297003604282102
0-4 años,Hombres,1999,16,Cuenca,4018,2.0,0.049776007964161276
0-4 años,Hombres,1999,17,Girona,13099,11.0,0.08397587602107032
0-4 años,Hombres,1999,18,Granada,19100,31.0,0.16230366492146597
0-4 años,Hombres,1999,19,Guadalajara,3384,1.0,0.02955082742316785
0-4 años,Hombres,1999,20,Gipuzkoa,14408,11.0,0.07634647418101055
0-4 años,Hombres,1999,21,Huelva,11315,8.0,0.07070260715863898
0-4 años,Hombres,1999,22,Huesca,3953,0.0,0.0
0-4 años,Hombres,1999,23,Jaén,17066,18.0,0.10547287003398571
0-4 años,Hombres,1999,24,León,7880,8.0,0.10152284263959391
0-4 años,Hombres,1999,25,Lleida,7329,1.0,0.01364442625187611
0-4 años,Hombres,1999,26,"Rioja, La",5036,7.0,0.13899920571882446
0-4 años,Hombres,1999,27,Lugo,5025,3.0,0.05970149253731343
0-4 años,Hombres,1999,28,Madrid,109631,170.0,0.15506562924720196
