Rango de Edad,Sexo,Año,Código,Nombre Provincia,Total,Frecuencia_Fallecimientos,tasa_fallecimiento
0-4 años,Hombres,2004,29,Málaga,36989,66.0,0.1784314255589499
0-4 años,Hombres,2004,30,Murcia,38697,70.0,0.1808925756518593
0-4 años,Hombres,2004,31,Navarra,14558,17.0,0.1167742821816183
0-4 años,Hombres,2004,32,Ourense,4849,5.0,0.1031140441328108
0-4 años,Hombres,2004,33,Asturias,16838,18.0,0.106901057132676
0-4 años,Hombres,2004,34,Palencia,2852,2.0,0.0701262272089761
0-4 años,Hombres,2004,35,Las Palmas,26722,37.0,0.1384626899184192
0-4 años,Hombres,2004,36,Pontevedra,19225,16.0,0.083224967490247
0-4 años,Hombres,2004,37,Salamanca,6180,1.0,0.0161812297734627
0-4 años,Hombres,2004,38,Santa Cruz,20419,36.0,0.1763063813115235
0-4 años,Hombres,2004,39,Cantabria,11467,10.0,0.0872067672451382
0-4 años,Hombres,2004,40,Segovia,2944,1.0,0.0339673913043478
0-4 años,Hombres,2004,41,Sevilla,49929,77.0,0.1542189909671733
0-4 años,Hombres,2004,42,Soria,1585,2.0,0.1261829652996845
0-4 años,Hombres,2004,43,Tarragona,17097,12.0,0.0701877522372346
0-4 años,Hombres,2004,44,Teruel,2516,3.0,0.1192368839427662
0-4 años,Hombres,2004,45,Toledo,14052,9.0,0.0640478223740392
0-4 años,Hombres,2004,46,Valencia,56257,62.0,0.1102085073857475
0-4 años,Hombres,2004,47,Valladolid,10094,9.0,0.0891618783435704
0-4 años,Hombres,2004,48,Bizkaia,23561,25.0,0.1061075506133016
0-4 años,Hombres,2004,49,Zamora,2915,0.0,0.0
0-4 años,Hombres,2004,50,Zaragoza,19901,34.0,0.1708456861464247
0-4 años,Hombres,2004,51,Ceuta,2493,1.0,0.0401123144805455
0-4 años,Hombres,2004,52,Melilla,2540,5.0,0.1968503937007873
0-4 años,Hombres,2005,1,Álava,6791,3.0,0.044176115446915
0-4 años,Hombres,2005,2,Albacete,9371,7.0,0.0746985380428983
0-4 años,Hombres,2005,3,Alicante,43420,45.0,0.1036388760939659
0-4 años,Hombres,2005,4,Almería,17089,26.0,0.1521446544560828
0-4 años,Hombres,2005,5,Ávila,2540,1.0,0.0393700787401574
